Point Name,Line,Location,Terminal,Point Name,trend,count,Type,Contains Outliers
(CLX AVIATION)  VESTIBULE DC-18 DR  M29T1D1,,,(CLX AVIATION) STATION M29T1 ,(CLX AVIATION)  VESTIBULE DC-18 DR  M29T1D1,"4,2,5,1",12,,False
(CLX AVIATION) ELECTRICAL ROOM DC-11  M29T1m1i2,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) ELECTRICAL ROOM DC-11  M29T1m1i2,"2,1,1",4,,False
(CLX AVIATION) ELEV EQUIP ROOM DC-10  M29T1m1i7,,,(CLX AVIATION)  INPUT MODULE 1 M29T1M1,(CLX AVIATION) ELEV EQUIP ROOM DC-10  M29T1m1i7,"13,2",15,,False
(CLX AVIATION) EMERGNCY STAIR SOUTH DC-06  M29T1m1i,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) EMERGNCY STAIR SOUTH DC-06  M29T1m1i,7,7,,False
(CLX AVIATION) EXIT CORR EXTRIOR DC-13  M29T1m1i5,,,(CLX AVIATION)  INPUT MODULE 1 M29T1M1,(CLX AVIATION) EXIT CORR EXTRIOR DC-13  M29T1m1i5,"1,1,1",3,,False
(CLX AVIATION) EXIT CORR INTERIOR DC-14 M29T1m,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) EXIT CORR INTERIOR DC-14 M29T1m,"1,2",3,,False
(CLX AVIATION) MECHANICAL ROOM DC-12  M29T1m1i4,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) MECHANICAL ROOM DC-12  M29T1m1i4,1,1,,False
(CLX AVIATION) NE PLTFRM GATE DC-5  M29T5i1,,,(CLX AVIATION) STATION M29T5,(CLX AVIATION) NE PLTFRM GATE DC-5  M29T5i1,"3,2",5,Platform End Gate,False
(CLX AVIATION) NE PLTFRM GATE DC-5 DR  M29T5D1,,,(CLX AVIATION) STATION M29T5,(CLX AVIATION) NE PLTFRM GATE DC-5 DR  M29T5D1,"3,2",5,Platform End Gate,False
(CLX AVIATION) NW PLTFRM GATE DC-4  M29T4i1,,,(CLX AVIATION) STATION M29T4 ,(CLX AVIATION) NW PLTFRM GATE DC-4  M29T4i1,"1,2",3,Platform End Gate,False
(CLX AVIATION) NW PLTFRM GATE DC-4 DR  M29T4D1,,,(CLX AVIATION) STATION M29T4 ,(CLX AVIATION) NW PLTFRM GATE DC-4 DR  M29T4D1,"1,2",3,Platform End Gate,False
(CLX AVIATION) SO PLTFRM GATE DC-2/3  M29T3i1,,,(CLX AVIATION) STATION M29T3,(CLX AVIATION) SO PLTFRM GATE DC-2/3  M29T3i1,"1,1",2,Platform End Gate,False
(CLX AVIATION) SO PLTFRM GATE DC-2/3 DR  M29T3D1,,,(CLX AVIATION) STATION M29T3,(CLX AVIATION) SO PLTFRM GATE DC-2/3 DR  M29T3D1,"1,1",2,Platform End Gate,False
